Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
0,42.2677,-5.3301,830,0,0,0
100,42.2677,-5.3301,830,0,0,0
200,42.2677,-5.3301,830,0,0,0
300,42.2677,-5.3301,830,0,0,0
400,42.2677,-5.3301,830,0,0,0
500,42.2677,-5.3301,830,0,0,0
600,42.2677,-5.3301,830,0,0,0
700,42.2677,-5.3301,830,0,0,0
800,42.2677,-5.3301,830,0,0,0
900,42.2677,-5.3301,830,0,0,0
1000,42.2677,-5.3301,830,0,0,0
1100,42.2677,-5.3301,830,0,0,0
1200,42.2677,-5.3301,830,0,0,0
1300,42.2677,-5.3301,830,0,0,0
1400,42.2677,-5.3301,830,0,0,0
1500,42.2677,-5.3301,830,0,0,0
1600,42.2677,-5.3301,830,0,0,0
1700,42.2677,-5.3301,830,0,0,0
1800,42.2677,-5.3301,830,0,0,0
1900,42.2677,-5.3301,830,0,0,0
2000,42.2677,-5.3301,830,0,0,0
2100,42.2677,-5.3301,830,0,0,0
2200,42.2677,-5.3301,830,0,0,0
2300,42.2677,-5.3301,830,0,0,0
2400,42.2677,-5.3301,830,0,0,0
2500,42.2677,-5.3301,830,0,0,0
2600,42.2677,-5.3301,830,0,0,0
2700,42.2677,-5.3301,830,0,0,0
2800,42.2677,-5.3301,830,0,0,0
2900,42.2677,-5.3301,830,0,0,0
3000,42.2677,-5.3301,830,0,0,0
3100,42.2677,-5.3301,830,0,0,0
3200,42.2677,-5.3301,830,0,0,0
3300,42.2677,-5.3301,830,0,0,0
3400,42.2677,-5.3301,830,0,0,0
3500,42.2677,-5.3301,830,0,0,0
3600,42.2677,-5.3301,830,0,0,0
3700,42.2677,-5.3301,830,0,0,0
3800,42.2677,-5.3301,830,0,0,0
3900,42.2677,-5.3301,830,0,0,0
4000,42.2677,-5.3301,830,0,0,0
4100,42.2677,-5.3301,830,0,0,0
4200,42.2677,-5.3301,830,0,0,0
4300,42.2677,-5.3301,830,0,0,0
4400,42.2677,-5.3301,830,0,0,0
4500,42.2677,-5.3301,830,0,0,0
4600,42.2677,-5.3301,830,0,0,0
4700,42.2677,-5.3301,830,0,0,0
4800,42.2677,-5.3301,830,0,0,0
4900,42.2677,-5.3301,830,0,0,0
5000,42.2677,-5.3301,830,0,0,0
5100,42.2677,-5.3301,830,0,0,0
5200,42.2677,-5.3301,830,0,0,0
5300,42.2677,-5.3301,830,0,0,0
5400,42.2677,-5.3301,830,0,0,0
5500,42.2677,-5.3301,830,0,0,0
5600,42.2677,-5.3301,830,0,0,0
5700,42.2677,-5.3301,830,0,0,0
5800,42.2677,-5.3301,830,0,0,0
5900,42.2677,-5.3301,830,0,0,0
6000,42.2677,-5.3301,830,0,0,0
6100,42.2677,-5.3301,830,0,0,0
6200,42.2677,-5.3301,830,0,0,0
6300,42.2677,-5.3301,830,0,0,0
6400,42.2677,-5.3301,830,0,0,0
6500,42.2677,-5.3301,830,0,0,0
6600,42.2677,-5.3301,830,0,0,0
6700,42.2677,-5.3301,830,0,0,0
6800,42.2677,-5.3301,830,0,0,0
6900,42.2677,-5.3301,830,0,0,0
7000,42.2677,-5.3301,830,0,0,0
7100,42.2677,-5.3301,830,0,0,0
7200,42.2677,-5.3301,830,0,0,0
7300,42.2677,-5.3301,830,0,0,0
7400,42.2677,-5.3301,830,0,0,0
7500,42.2677,-5.3301,830,0,0,0
7600,42.2677,-5.3301,830,0,0,0
7700,42.2677,-5.3301,830,0,0,0
7800,42.2677,-5.3301,830,0,0,0
7900,42.2677,-5.3301,830,0,0,0
8000,42.2677,-5.3301,830,0,0,0
8100,42.2677,-5.3301,830,0,0,0
8200,42.2677,-5.3301,830,0,0,0
8300,42.2677,-5.3301,830,0,0,0
8400,42.2677,-5.3301,830,0,0,0
8500,42.2677,-5.3301,830,0,0,0
8600,42.2677,-5.3301,830,0,0,0
8700,42.2677,-5.3301,830,0,0,0
8800,42.2677,-5.3301,830,0,0,0
8900,42.2677,-5.3301,830,0,0,0
9000,42.2677,-5.3301,830,0,0,0
9100,42.2677,-5.3301,830,0,0,0
9200,42.2677,-5.3301,830,0,0,0
9300,42.2677,-5.3301,830,0,0,0
9400,42.2677,-5.3301,830,0,0,0
9500,42.2677,-5.3301,830,0,0,0
9600,42.2677,-5.3301,830,0,0,0
9700,42.2677,-5.3301,830,0,0,0
9800,42.2677,-5.3301,830,0,0,0
9900,42.2677,-5.3301,830,0,0,0
10000,42.2677,-5.3301,830,0,0,0
